FEATURE-PARIS,COEFFICIENTS
FREQ2 - FREQ1,0.6486221055434874
FREQ1_D - FREQ1,0.5358460594182698
FREQ_ATND_SELF_HELP_D - FREQ_ATND_SELF_HELP,0.5143546921238187
FREQ2 - FREQ1_D,0.31771754257133916
FRSTUSE2 - FRSTUSE1,0.2921604283523735
FRSTUSE2 - FREQ2_D,0.2830465867900601
FRSTUSE2 - AGE,0.24139429806750637
FRSTUSE1 - AGE,0.1773777520239512
EDUC - AGE,0.13642047210922006
FRSTUSE2 - EDUC,0.10144015169234215
FREQ1 - AGE,0.09925890711090977
FREQ2 - AGE,0.09313449388005575
FREQ_ATND_SELF_HELP_D - DAYWAIT,0.08871661280836678
FRSTUSE1 - EDUC,0.0882886458328793
FREQ_ATND_SELF_HELP - EDUC,0.07897432816432323
FREQ_ATND_SELF_HELP_D - EDUC,0.07293103839618247
FRSTUSE2 - FREQ1,0.07262158137839787
FRSTUSE1 - FREQ2,0.052423767853954056
FREQ_ATND_SELF_HELP_D - AGE,0.046546916593409614
FREQ_ATND_SELF_HELP - DAYWAIT,0.045810818835559826
FREQ2_D - FREQ1,0.04396654486082231
FREQ1_D - AGE,0.043651330273426645
FRSTUSE1 - FREQ1,0.04361027949740515
FRSTUSE2 - DAYWAIT,0.03595848135303162
FRSTUSE1 - DAYWAIT,0.03454444876219922
FRSTUSE2 - FREQ2,0.030873172811089852
FRSTUSE1 - FREQ1_D,0.030751801155500948
FREQ_ATND_SELF_HELP - AGE,0.027870182239798102
FREQ2_D - FREQ1_D,0.021872281953250153
FREQ2_D - FREQ_ATND_SELF_HELP,0.02020176464146907
FRSTUSE2 - FREQ1_D,0.019340850963118536
EDUC - DAYWAIT,0.018398331528335074
FRSTUSE2 - FREQ_ATND_SELF_HELP_D,0.01721123417020077
FREQ2_D - FREQ2,0.01425361897050825
FREQ2_D - EDUC,0.01019611772929939
FRSTUSE1 - FREQ2_D,0.009156559076582617
FREQ2_D - FREQ_ATND_SELF_HELP_D,0.007947959963056053
FREQ1 - EDUC,0.006062590210011154
FRSTUSE2 - FREQ_ATND_SELF_HELP,-0.001958549674691298
FRSTUSE1 - FREQ_ATND_SELF_HELP_D,-0.003961511755659525
FREQ1_D - EDUC,-0.006271232851960778
FREQ2_D - AGE,-0.008996412277515633
FREQ2 - EDUC,-0.010918729102210945
FREQ2_D - DAYWAIT,-0.01336666860725486
DAYWAIT - AGE,-0.013917715623119711
FRSTUSE1 - FREQ_ATND_SELF_HELP,-0.015834023134495178
FREQ1 - FREQ_ATND_SELF_HELP_D,-0.023433035547696282
FREQ2 - FREQ_ATND_SELF_HELP_D,-0.02522381711318871
FREQ2 - DAYWAIT,-0.037608874647199295
FREQ1 - DAYWAIT,-0.038481327772496556
FREQ2 - FREQ_ATND_SELF_HELP,-0.131389827669493
FREQ1_D - DAYWAIT,-0.13417894277759734
FREQ1 - FREQ_ATND_SELF_HELP,-0.13601913293645224
FREQ1_D - FREQ_ATND_SELF_HELP,-0.14387921056197753
FREQ1_D - FREQ_ATND_SELF_HELP_D,-0.24420119021891273
